Run,gy,sex,pupae_larvae
2,310,Male,0
2,310,Male,0
2,310,Male,0
2,310,Male,0
2,310,Male,0
2,310,Male,0
1,405,Male,0
1,405,Male,0
1,405,Male,0
1,405,Male,0
1,405,Male,0
1,405,Male,0
1,405,Male,0
1,405,Male,0
1,405,Male,0
1,405,Male,0
1,405,Male,0
1,445,Male,0
1,445,Male,0
1,445,Male,0
1,445,Male,0
1,445,Male,0
1,445,Male,0
1,445,Male,0
1,445,Male,0
1,445,Male,0
1,445,Male,0
1,445,Male,0
1,445,Male,0
1,445,Male,0
1,445,Male,0
1,445,Male,0
1,445,Male,0
1,445,Male,0
1,445,Male,0
1,445,Male,0
1,445,Male,0
1,445,Male,0
1,445,Male,0
1,445,Male,0
